starttime,endtime,today,deviceid,malaria_intro,readiness_assessment_checklist,gps1_longitude,gps1_latitude,gps1_altitude,gps1_accuracy,gps1,time_of_assessment,date_of_visits,name_supervisor,organisation,other_organisation,region,district,planning_coordination,operational_plan_develop_1_1,coordination_team_established_1_2,micro_plan_finalized_1_3,funds_received_1_4,funds_distributed_1_5,funds_distributed_1_6,comments_planning_coordination,training,health_workers_trained_2_1,com_health_volunteers_trained_2_2,supervisors_identified_and_trained_2_3,comments_training,m_e,supervision_plan_developed_3_1,monitoring_tools_received_3_2,monitoring_tools_delivered_at_hf_3_3,comments_m_e,cold_chain_and_logistics,sufficient_coldchain_capacity_4_1,waste_mgt_assessment_4_2,vaccines_mgt_supplied_vaccines_4_3a,vaccines_mgt_supplied_ad_syringes_0_5ml_4_3b,vaccines_mgt_supplied_safety_boxes_4_3c,vaccines_mgt_supplied_comments_cold_chain_and_logistics,advocacy_communication,acsm_mgt_delivered_5_1,acsm_mgt_implemented_5_2,community_awareness_verified_5_3,comments_advocacy_communication,overall_comments_note,overall_comments,thank_you,meta_instance_id,id,system_submission_date,system_updated_at,system_submitter_id,system_submitter_name,system_attachments_present,system_attachments_expected,system_status,system_review_state,system_device_id,system_edits,system_form_version,odata_context
2025-03-04T11:58:45Z,2025-03-07T10:00:58Z,2025-03-04T00:00:00Z,collect:SWUA4BF3E9fazbPC,NA,NA,30.91548,3.0136584,1215,92.9,,1m,2025-03-03T00:00:00Z,Patricia Thiwe,gov_moh,NA,West_Nile,Arua City,NA,yes,yes,yes,no,no,no,IPFs for MVI not communicated and all activities not known,NA,no,no,no,Activities not yet started. CHT waiting form communication from Minis,NA,no,yes,yes,Routine data tools available ,NA,yes,no,no,no,no,Vaccines and other supplies not yet received,NA,no,no,no,Only Road drive done however social mobilisation needs to be intensified ,NA,Not much has been done at the City in regards MVI,NA,uuid:1fa98aa7-2ab6-44a9-9620-56e35db9387c,uuid:1fa98aa7-2ab6-44a9-9620-56e35db9387c,2025-03-07T10:01:00.492Z,NA,1124,moh_assessor,0,0,NA,NA,collect:SWUA4BF3E9fazbPC,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-04T09:43:36Z,2025-03-04T10:03:22Z,2025-03-04T00:00:00Z,074770853250475,NA,NA,33.17586022,1.91405316,1097.3356011048,32.689,,1m,2025-03-04T00:00:00Z,Mulyazaawo Matthias Kasule,gov_moh,NA,Lango,Dokolo,NA,no,yes,no,no,no,no,Waiting for information from the center,NA,no,no,no,The team is waiting for information on the introduction of the Malaria Vaccine ,NA,no,no,no,"The district has only information about the vaccine, waiting for details about the vaccine itself and the introduction process ",NA,no,no,no,no,no,Some safe safety boxes are not enough ,NA,no,no,no,No microplan and the communication plan and material not available ,NA,The District requires details on the malaria vaccine introduction ,NA,uuid:6e5c2af9-493f-4774-9dbb-1cbd32ce03ff,uuid:6e5c2af9-493f-4774-9dbb-1cbd32ce03ff,2025-03-07T09:27:31.789Z,NA,1124,moh_assessor,0,0,NA,NA,imei:07CEE08D-3B50-4ED7-BDCD-811290024635,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-05T08:00:49Z,2025-03-05T09:51:33Z,2025-03-05T00:00:00Z,074770853250475,NA,NA,32.84089197,1.63446976,1047.0615469555,84.6,,1m,2025-03-05T00:00:00Z,Mulyazaawo Mathias Kasule,gov_moh,NA,Lango,Amolatar,NA,yes,yes,yes,yes,yes,yes,"The District’s operational plan is integrated, funds for sensitization received but coordination meetings are only held as and when required ",NA,no,no,no,Training for all cadres is pending ,NA,no,yes,yes,Child cards available but the tally sheets and children health registers not available ,NA,yes,no,no,yes,no,"Capaity at the District level is sufficient but at three of the facilities, fridges are powered by gas, current they’ve no gas and two of those three have small gas cylinders ",NA,no,no,no,"MV introduction micro plan not yet developed, expecting information from MoH",NA,"Generally information on the vaccine and and it’s introduction is still limited, this should be shared, ACSM yet to commence; cold chain facility have largely remained the same despite the introduction of various antigens. ",NA,uuid:f429adc5-3023-4935-9075-d657cd3abc50,uuid:f429adc5-3023-4935-9075-d657cd3abc50,2025-03-07T09:27:31.782Z,NA,1124,moh_assessor,0,0,NA,NA,imei:07CEE08D-3B50-4ED7-BDCD-811290024635,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-05T08:15:01Z,2025-03-07T08:52:34Z,2025-03-05T00:00:00Z,collect:L7lOORaTqF2G2HLy,NA,NA,33.3559422,2.4049448,1075.6282039359355,4.353,,1m,2025-03-05T00:00:00Z,Patrick Araali Mwirumubi,gov_moh,NA,Lango,Otuke,NA,no,yes,no,no,no,yes,"Guidelines for implementation, human resource requirements, and logistics are needed.",NA,no,no,no,"Awareness, with support from the Social Behavior Change Activity (SBCA), was only carried out for stakeholders.  More awareness training is needed to reach all required parties.",NA,no,yes,yes,"1. The guidelines should be revised/updated to include provisions for subcounty leadership (subcounty chiefs/town clerks, LC3 chairperson, health secretary, and the GISO) for supervision and monitoring.
2. A budget should be allocated for multiplying the tools.
3. Sufficient registers are needed before this activity begins.",NA,yes,yes,no,no,no,Support for moving around facilities to carry out waste management assessments.,NA,no,no,no,"1. Social mobilization support especially for hard to reach areas.
2. There is a need for separate materials for the sub county of Olilim and Okwete where Itesots have settled. There is a language barrier challenge that needs to be urgently addressed.",NA,"The district is ready and willing to introduce the Malaria Vaccine.   The ask is for timely support from MoH to ensure smooth delivery, distribution and uptake of the Malaria Vaccine.",NA,uuid:e7b9b995-ca79-4e01-9809-faede7ede31a,uuid:e7b9b995-ca79-4e01-9809-faede7ede31a,2025-03-07T08:52:36.096Z,NA,1124,moh_assessor,0,0,NA,NA,collect:L7lOORaTqF2G2HLy,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T10:53:49Z,2025-03-07T08:52:25Z,2025-03-03T00:00:00Z,collect:L7lOORaTqF2G2HLy,NA,NA,33.23564,2.2599664,1079.4000244140625,4.01,,1m,2025-03-03T00:00:00Z,Patrick Araali Mwirumubi,gov_moh,NA,Lango,Alebtong,NA,no,yes,no,no,no,yes,"The DHO raised a concern, asking when districts should plan relative to the Ministry of Health's plans.  Gaps within districts are unique to each one. Districts should be allowed to plan independently because they best understand their challenges.",NA,no,no,no,Awaiting disbursement of funds and MV guidelines to mobilize the required human resources.,NA,no,yes,yes,Guidelines and support from the MoH to develop supervision plans.,NA,yes,yes,no,no,no,"For proper waste management, an incinerator will be needed at each facility.",NA,no,no,yes,IEC materials should be delivered on time before the activity starts to improve community sensitization.,NA,"Comments were raised under the different sections.
A. Training section
1. MoH uses a top-down rigid planning mechanism, not allowing the district to utilize a bottom-up approach for better planning. This needs to be addressed.
2. Timely and adequate community engagement is needed to reduce resistance to newly introduced vaccines.

B. Social mobilization & Communication
1. The district feels strongly that they were not involved in the malaria Vaccine material development.",NA,uuid:df76a08f-0981-4971-ae49-be3df16b2bfc,uuid:df76a08f-0981-4971-ae49-be3df16b2bfc,2025-03-07T08:52:26.923Z,NA,1124,moh_assessor,0,0,NA,NA,collect:L7lOORaTqF2G2HLy,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-07T07:01:15Z,2025-03-07T08:51:19Z,2025-03-07T00:00:00Z,collect:UgCtJbqjGaO4AFTb,NA,NA,34.1827328,1.0704123,1143.800048828125,24.9,,1m,2025-03-05T00:00:00Z,Damascus Akampurira,gov_moh,NA,Bugisu,Mbale City,NA,no,yes,yes,no,no,yes,"Late submission of  Gavi funds accountability 
Inadequate facilitation of other key holders like chairman LC 1
Vaccine stock outs of new vaccines
Inadequate facilitation of mobilisers",NA,no,no,no,Not yet because of funds have been provided,NA,no,yes,yes,They have tools for routine immunisation,NA,yes,yes,no,yes,yes,NA,NA,no,yes,yes,"Communities are aware about the immunisation through radio

However more funding is needed for door to door mobilisation",NA,Mbale city is partially ready for MVI however if funds are received more work will be done like training of health workers,NA,uuid:8346b192-451a-4a07-8ec8-e791596b9cc4,uuid:8346b192-451a-4a07-8ec8-e791596b9cc4,2025-03-07T08:51:21.801Z,NA,1124,moh_assessor,0,0,NA,NA,collect:UgCtJbqjGaO4AFTb,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-07T06:32:47Z,2025-03-07T07:23:14Z,2025-03-07T00:00:00Z,collect:9vPPfQSopF15XIjN,NA,NA,33.2004558,0.4403786,1157.4000244140625,4.58,,1m,2025-03-04T00:00:00Z,Robinson Amanyiraho,gov_moh,NA,Busoga,Jinja City,NA,no,no,yes,no,no,no,Monthly meetings with RDC are affected about facilitation for the RDC,NA,no,no,no,Delayed funding is affecting this,NA,no,no,no,Funding needed to plan better,NA,no,no,no,no,no,The district needs support in full cold chain package,NA,no,no,yes,NA,NA,"District needs support in transportation, vehicles and facilitation for administration costs, we need to consider to plan the divisions as municipalities not as sub counties",NA,uuid:18415eff-bedf-4014-ae83-bb2e1509e863,uuid:18415eff-bedf-4014-ae83-bb2e1509e863,2025-03-07T07:23:19.398Z,NA,1124,moh_assessor,0,0,NA,NA,collect:9vPPfQSopF15XIjN,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-02T18:36:36Z,2025-03-07T06:31:54Z,2025-03-02T00:00:00Z,collect:9vPPfQSopF15XIjN,NA,NA,33.2004868,0.4403493,1157.4000244140625,4.816,,1m,2025-03-03T00:00:00Z,Robinson Amanyiraho,gov_moh,NA,Busoga,Jinja,NA,yes,yes,yes,no,no,no,"Without funds its hard to make proper plans, The team needs support in how to manage delayed procurements. Because this delays their accountabilities ",NA,no,no,no,Funds are delaying this activities ,NA,no,yes,yes,Delay of funds is affecting supervision plan,NA,yes,no,no,no,no,Team needs support on handling proper dispose live attenuated vaccine wastes,NA,no,no,no,Yes,NA,SBCA had supported some areas,NA,uuid:ce60d324-c9b9-4b6e-ab5c-fe7566b0f758,uuid:ce60d324-c9b9-4b6e-ab5c-fe7566b0f758,2025-03-07T06:31:55.027Z,NA,1124,moh_assessor,0,0,NA,NA,collect:9vPPfQSopF15XIjN,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-05T08:44:55Z,2025-03-07T06:30:55Z,2025-03-05T00:00:00Z,collect:EOLoWxM5viH3mMFO,NA,NA,33.8974739,1.2054382,1099.0894775390625,4.239,,1m,2025-03-05T00:00:00Z,Molly Birungi Bulemu,gov_moh,NA,Bukedi,Butebo,NA,no,no,no,no,yes,yes,NA,NA,no,no,no,NA,NA,no,yes,yes,Monitoring tools were available at the district ,NA,yes,yes,no,no,no,Vaccines and supplies haven't been received. Some facilities lack proper disposal of waste they were Initially supported by green waste but were put on hold.,NA,no,no,yes,"Mega phones are insufficient and the ones available don't have cells

They have an extra village not catered for in the microplan 269 are catered for and they have a total of 270 villages",NA,Butebo is ready to introduce the malaria vaccine.  Just waiting for funds to complete the microplan and the budget,NA,uuid:a5678212-9b51-4294-801a-3c66504c5670,uuid:a5678212-9b51-4294-801a-3c66504c5670,2025-03-07T06:30:56.075Z,NA,1124,moh_assessor,0,0,NA,NA,collect:EOLoWxM5viH3mMFO,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-04T08:36:02Z,2025-03-07T05:16:29Z,2025-03-04T00:00:00Z,collect:H70ZQJrZetfLD9vB,NA,NA,31.0783706,3.1823131,0,2700,,1m,2025-03-04T00:00:00Z,Kyomugisha Dinah Diana,gov_moh,NA,West_Nile,Terego,NA,no,yes,no,no,no,no,Formal communication should be done giving guidelines.,NA,no,no,no,Funds should be provided early enough so that trainings can begin,NA,no,yes,yes,"There is need for provision of Chich registers, Child vaccination defaulter registers, HMIS105 monthly reports, Tally sheets, Reporting tool ISO addendum",NA,yes,yes,no,no,no,They need more 30 cold boxes,NA,no,no,no,The ICE materials need be distributed on time for communities to be aware,NA,"The District is not yet ready.
There is need for provision of guidelines and roadmap on MVI by the Ministry.",NA,uuid:bbd7825c-a667-43f8-b33a-15243b247a92,uuid:bbd7825c-a667-43f8-b33a-15243b247a92,2025-03-07T05:16:29.359Z,NA,1124,moh_assessor,0,0,NA,NA,collect:H70ZQJrZetfLD9vB,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-05T09:54:13Z,2025-03-07T05:16:04Z,2025-03-05T00:00:00Z,collect:eZC1L1TORg06hIMR,NA,NA,33.8051079,1.04644,1093.9,4.28,,1m,2025-03-05T00:00:00Z,Agnes Gimbo,gov_moh,NA,Bukedi,Kibuku,NA,no,no,no,no,no,yes,For proper planning let IPFs be shared in time,NA,no,no,yes,Health workers are trained a week to the implementation in order to be remember every bit trained,NA,no,no,no,"Monitoring tools are needed and the few that were updated are used up.

Baylor as an implementing partner left the district. It used to support in delivery of monitoring tools

NMS has to deliver them together with vaccines",NA,yes,no,yes,no,no,"Vaccines and logistics to be delivered together with vaccines. Logistics available are for Routine by the time of MVI they will not be enough

On cold chain DVS has three solar fridges and Five fridges for electricity laying redundant because power is on and off  

DVS is need of two solar panel or fuel for generator so as to have a smooth campaign 

There are also two facilities with small fridges and yet they serve three sub counties. The facilities are Kasasila HCIII and Bulangila HCIII. 

However Kulika HCIII that serves two sub counties has a faulty fridge that needs fixing.

There is a fridge at PNF . The owner is the area MP it is HTCD 120 only ministry can do fresh allocation. Too much politics involved. The facility is called Kibuuku Community HC III",NA,no,no,no,"Community is partially aware because there was some kind of intervention done due to an outbreak of malaria. The people they involved were informed of the upcoming vaccination  but not dates and venues.

So there is need to strengthen social mobilization. Actually DHE was suggesting if megha phone were increased to village level so that aware is done well. That would have worked well. That means each village with a megha phone.
Malaria is too much in Kibuuku",NA,"Kibuuku unlike Budaka has no challenges in accessing funds. That's why they say no ending accountabilities. Delay comes in when requisitioning.

However other pillars are still weak and timely support will help when;

 vaccines and logistics are delivered on time 

Regional TOTs needed for
 DHTs 

Timely fixing and replacement of fridges

Timely disbursement of funds.

Social mobilization to be supported immediately. 

Lastly following Trump's directive, we have lost IPs that have been supporting mostly on deliveries of monitoring tools. The ball rolls back to NMS to consider Kibuuku as Baylor is no longer functional.
They last received monitoring tools in November 2025. I guess by the time of MVI they will be at zero. Already they are short of updated tally sheets etc",NA,uuid:21574084-295c-49ab-b3e9-4c79a2b6498d,uuid:21574084-295c-49ab-b3e9-4c79a2b6498d,2025-03-07T05:16:07.254Z,NA,1124,moh_assessor,0,0,NA,NA,collect:eZC1L1TORg06hIMR,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
